nSeq,I1,I2,O1,O2,A1,A2,A3,A4,A5,A6
0,0,0,0,0,412,510,0,0,0,0
1,0,0,0,0,423,521,0,0,0,0
2,0,0,0,0,423,532,0,0,0,0
3,0,0,0,0,440,538,0,0,0,0
4,0,0,0,0,455,529,0,0,0,0
5,0,0,0,0,458,518,0,0,0,0
6,0,0,0,0,462,529,0,0,0,0
7,0,0,0,0,476,513,0,0,0,0
8,0,0,0,0,481,508,0,0,0,0
9,0,0,0,0,466,484,0,0,0,0
10,0,0,0,0,465,401,0,0,0,0
11,0,0,0,0,472,142,0,0,0,0
12,0,0,0,0,467,0,0,0,0,0
13,0,0,0,0,448,432,0,0,0,0
14,0,0,0,0,446,972,3,0,0,0
15,0,0,0,0,446,830,2,0,0,0
0,0,0,0,0,432,675,1,0,0,0
1,0,0,0,0,418,552,0,0,0,0
2,0,0,0,0,422,524,0,0,0,0
3,0,0,0,0,419,507,0,0,0,0
4,0,0,0,0,402,501,0,0,0,0
5,0,0,0,0,408,491,0,0,0,0
6,0,0,0,0,410,487,0,0,0,0
7,0,0,0,0,397,487,0,0,0,0
8,0,0,0,0,399,489,0,0,0,0
9,0,0,0,0,408,484,0,0,0,0
10,0,0,0,0,405,487,0,0,0,0
11,0,0,0,0,402,481,0,0,0,0
12,0,0,0,0,391,486,0,0,0,0
13,0,0,0,0,398,479,0,0,0,0
14,0,0,0,0,403,476,0,0,0,0
15,0,0,0,0,396,478,0,0,0,0
0,0,0,0,0,412,484,0,0,0,0
1,0,0,0,0,445,472,0,0,0,0
2,0,0,0,0,480,480,0,0,0,0
3,0,0,0,0,522,486,0,0,0,0
4,0,0,0,0,587,491,0,0,0,0
5,0,0,0,0,645,494,0,0,0,0
6,0,0,0,0,681,507,0,0,0,0
7,0,0,0,0,724,510,0,0,0,0
8,0,0,0,0,744,525,0,0,0,0
9,0,0,0,0,754,526,0,0,0,0
10,0,0,0,0,748,533,0,0,0,0
11,0,0,0,0,716,541,1,0,0,0
12,0,0,0,0,674,556,0,0,0,0
13,0,0,0,0,639,548,0,0,0,0
14,0,0,0,0,593,549,0,0,0,0
15,0,0,0,0,531,556,0,0,0,0
0,0,0,0,0,492,555,0,0,0,0
1,0,0,0,0,456,543,0,0,0,0
2,0,0,0,0,421,539,0,0,0,0
3,0,0,0,0,385,541,0,0,0,0
4,0,0,0,0,380,531,0,0,0,0
5,0,0,0,0,382,527,0,0,0,0
6,0,0,0,0,377,526,0,0,0,0
7,0,0,0,0,371,525,0,0,0,0
8,0,0,0,0,386,523,0,0,0,0
9,0,0,0,0,395,519,0,0,0,0
10,0,0,0,0,389,527,0,0,0,0
11,0,0,0,0,402,522,0,0,0,0
12,0,0,0,0,411,526,0,0,0,0
13,0,0,0,0,429,519,0,0,0,0
14,0,0,0,0,441,519,0,0,0,0
15,0,0,0,0,444,518,0,0,0,0
0,0,0,0,0,445,517,0,0,0,0
1,0,0,0,0,442,512,0,0,0,0
2,0,0,0,0,443,514,0,0,0,0
3,0,0,0,0,429,517,0,0,0,0
4,0,0,0,0,429,519,0,0,0,0
5,0,0,0,0,442,509,0,0,0,0
6,0,0,0,0,444,504,0,0,0,0
7,0,0,0,0,432,512,0,0,0,0
8,0,0,0,0,427,516,0,0,0,0
9,0,0,0,0,433,505,0,0,0,0
10,0,0,0,0,431,507,0,0,0,0
11,0,0,0,0,414,511,0,0,0,0
12,0,0,0,0,415,512,0,0,0,0
13,0,0,0,0,419,497,0,0,0,0
14,0,0,0,0,413,507,0,0,0,0
15,0,0,0,0,400,507,0,0,0,0
0,0,0,0,0,411,507,0,0,0,0
1,0,0,0,0,416,501,0,0,0,0
2,0,0,0,0,406,502,0,0,0,0
3,0,0,0,0,404,505,0,0,0,0
4,0,0,0,0,416,503,0,0,0,0
5,0,0,0,0,420,494,0,0,0,0
6,0,0,0,0,408,509,0,0,0,0
